"run","plan","response","receivedAtMs","socketGeneration","globalRegionEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"3","","79","69176","3","66080.0052","66080.0052","74","80","74","false","false"
"3","","80","70272","3","67120.006","67120.006","81","160","0","false","false"
"3","","81","71376","3","68160.007","68160.007","101","160","18","false","false"
"3","","82","71528","3","68320.003","68320.003","88","160","3","false","false"
"3","","83","72048","3","68760.0055","68760.0055","191","200","23","true","true"
"3","","84","73026","3","69760","69760","84","160","1","false","false"
"3","","85","74102","3","70800.001","70800.001","77","80","77","false","false"
"3","","86","74381","3","70969.999","70969.999","175","230","6","true","true"
"3","","87","75361","3","71999.9988","71999.9988","70","80","70","false","false"
"3","","88","76464","3","73039.9997","73039.9997","89","160","5","false","false"
"3","","89","77551","3","74080.0006","74080.0006","93","160","10","false","false"
"3","","90","78634","3","75120.0015","75120.0015","92","160","8","false","false"
"3","","91","79209","3","75679.999","75679.999","86","160","0","false","false"
"3","","92","79560","3","75730.00200000001","75730.00200000001","438","430","18","true","false"
"3","","93","79876","3","76249.99664","76249.99664","167","230","0","true","true"
"3","","94","80874","3","77279.9988","77279.9988","66","80","65","false","false"
"3","","95","82202","3","78319.9997","78319.9997","310","320","63","false","false"
"3","","96","84096","3","79360.0006","79360.0006","1120","1120","24","false","false"
"3","","97","84117","3","79519.9966","79519.9966","974","960","45","false","false"
"3","","98","84128","3","79680.0003","79680.0003","808","800","55","false","false"
"3","","99","85017","3","80720.001","80720.001","608","640","25","false","false"
"3","","100","85082","3","79510.0021","80720.001","2023","720","8","true","false"
"3","","101","85118","3","81279.9966","81279.9966","126","160","45","false","false"
"3","","102","86150","3","82319.9976","82319.9976","74","80","75","false","false"
"3","","103","87264","3","83359.9985","83359.9985","71","80","72","false","false"
"3","","104","87620","3","83639.9973","83639.9973","160","120","77","true","true"
"3","","105","88627","3","84640","84640","69","80","69","false","false"
"3","","106","89710","3","85680.001","85680.001","69","80","68","false","false"
"3","","107","90810","3","86720.0018","86720.0018","68","80","68","false","false"
"3","","108","91752","3","87559.9982","87559.9982","177","200","12","true","true"
"4","","1","1116","4","1040","1040","21","80","21","false","false"
"4","","2","2205","4","2080","2080","26","80","26","false","false"
"4","","3","3290","4","3120","3120","28","80","28","false","false"
"4","","4","4380","4","4160","4160","37","80","37","false","false"
"4","","5","4801","4","4530","4530","123","110","39","true","true"
"4","","6","5874","4","5599.9997","5599.9997","28","80","28","false","false"
"4","","7","6967","4","6639.9997","6639.9997","38","80","39","false","false"
"4","","8","8066","4","7679.9996","7679.9996","54","80","54","false","false"
"4","","9","9153","4","8720","8720","57","80","57","false","false"
"4","","10","11140","4","8720","8720","2044","2000","45","true","false"
