"run","mode","round","response","receivedAtMs","socketGeneration","globalRegionEndMs","globalLatestWordEndMs","latestProviderConfirmedAudioMs","providerRegionLagMs","latestWordLagMs","audioLiveEdgeLagMs","legacyLatestChunkToMessageMs","isFinal","speechFinal"
"2","vr_full","1","80","67236","2","67120.006","66899.994","67120.006","115","348","160","35","false","false"
"2","vr_full","1","81","68385","2","68160.007","67939.995","68160.007","223","464","240","52","false","false"
"2","vr_full","1","82","68452","2","68320.003","67939.995","68320.003","119","531","160","53","false","false"
"2","vr_full","1","83","68931","2","68760.0055","68500","68760.0055","210","442","200","43","true","true"
"2","vr_full","1","84","69851","2","69760","69640","69760","89","246","80","88","false","false"
"2","vr_full","1","85","70997","2","70800.001","70600","70800.001","195","428","240","25","false","false"
"2","vr_full","1","86","71149","2","70969.999","70600","70969.999","177","579","230","28","true","true"
"2","vr_full","1","87","72069","2","71999.9988","71850","71999.9988","69","225","80","69","false","false"
"2","vr_full","1","88","73114","2","73039.9997","72890","73039.9997","68","226","80","68","false","false"
"2","vr_full","1","89","74204","2","74080.0006","73850","74080.0006","116","364","160","38","false","false"
"2","vr_full","1","90","75247","2","75120.0015","74970","75120.0015","126","275","160","40","false","false"
"2","vr_full","1","91","76370","2","75679.999","75450.005","75679.999","682","915","720","48","false","false"
"2","vr_full","1","92","76398","2","75730.00200000001","75450.005","75730.00200000001","710","943","670","76","true","false"
"2","vr_full","1","93","76418","2","76249.99664","","76249.99664","171","","230","8","true","true"
"2","vr_full","1","94","77325","2","77279.9988","77210","77279.9988","38","120","80","38","false","false"
"2","vr_full","1","95","78394","2","78319.9997","78250","78319.9997","72","139","80","72","false","false"
"2","vr_full","1","96","79450","2","79360.0006","79210","79360.0006","79","246","160","0","false","false"
"2","vr_full","1","97","79573","2","79519.9966","79290","79519.9966","52","292","80","51","false","false"
"2","vr_full","1","98","79747","2","79680.0003","79290","79680.0003","64","466","80","64","false","false"
"2","vr_full","1","99","80847","2","80720.001","80650","80720.001","125","196","160","42","false","false"
"2","vr_full","1","100","81347","2","79510.0021","79290","80720.001","1897","2066","640","59","true","false"
"2","vr_full","1","101","81362","2","81279.9966","81110","81279.9966","74","317","80","74","false","false"
"2","vr_full","1","102","82391","2","82319.9976","82230","82319.9976","69","219","80","69","false","false"
"2","vr_full","1","103","83425","2","83359.9985","82950.005","83359.9985","54","536","80","54","false","false"
"2","vr_full","1","104","83754","2","83639.9973","83030","83639.9973","148","786","120","74","true","true"
"2","vr_full","1","105","84704","2","84640","","84640","54","","80","54","false","false"
"2","vr_full","1","106","86040","2","85680.001","85560","85680.001","352","519","400","35","false","false"
"2","vr_full","1","107","86794","2","86720.0018","86680","86720.0018","73","149","80","72","false","false"
"2","vr_full","1","108","87663","2","87559.9982","87240","87559.9982","141","458","120","62","true","true"
